所在区域,平均价格(元/平方),房屋类型,所在楼层,建筑面积,建筑类型,房屋朝向,装修情况,梯户比例,配备电梯,挂牌时间,上次交易时间,产权所属,抵押信息
9,19005,3室2厅1厨1卫,中楼层 (共11层),83.14,2,南,1,一梯四户,1,2019/3/12,2017/8/9,1,0.5
8,18895,2室2厅1厨1卫,中楼层 (共32层),78.33,1,南,0.5,两梯五户,1,2018/4/17,2018/3/13,1,0.5
1,23247,3室2厅1厨2卫,高楼层 (共11层),129.05,3,南 北,0,一梯三户,1,2018/10/14,2009/9/4,0.5,1
14,27658,2室1厅1厨1卫,低楼层 (共32层),99.43,2,西北,1,三梯六户,1,2018/2/23,2014/11/22,0.5,0.5
1,19268,3室2厅1厨2卫,中楼层 (共32层),134.94,3,南,0.5,两梯四户,1,2018/10/17,2016/2/29,1,1
6,14435,3室2厅1厨1卫,高楼层 (共32层),91.45,2,南,0,一梯四户,0,2018/11/10,2019/2/12,1,0.5
1,18307,3室2厅1厨1卫,低楼层 (共18层),94.5,3,北,0.5,三梯七户,1,2019/3/25,2011/10/14,1,1
2,31250,1室1厅1厨1卫,中楼层 (共30层),48,3,东,1,三梯十二户,1,2019/3/10,2016/9/13,1,1
3,24540,3室2厅1厨1卫,高楼层 (共33层),103.1,2,南,0,两梯四户,1,2018/9/25,2018/7/19,0.5,0.5
3,23153,2室2厅1厨1卫,高楼层 (共32层),72.13,2,南,1,三梯十二户,1,2019/2/16,2017/6/9,0.5,0.5
3,19625,2室2厅1厨1卫,中楼层 (共32层),80,3,南,1,两梯四户,1,2019/4/8,2017/2/17,0.5,0.5
2,17485,3室2厅1厨1卫,低楼层 (共29层),88.65,3,南,0,三梯五户,1,2019/1/14,2019/3/19,0.5,1
14,33389,3室2厅1厨2卫,高楼层 (共57层),125.79,3,南,0,三梯五户,1,2018/1/29,2016/12/7,0.5,1
7,16879,3室2厅1厨2卫,中楼层 (共11层),151.08,2,南 北,1,两梯三户,1,2018/9/16,暂无数据,1,0.5
4,17678,2室2厅1厨1卫,高楼层 (共8层),56.57,2,东 西,1,一梯三户,0,2019/4/14,2014/4/4,0.5,1
3,24059,2室2厅1厨1卫,高楼层 (共11层),69.83,2,西,1,一梯三户,1,2019/1/5,2016/12/28,0.5,0.5
4,19136,2室2厅1厨1卫,低楼层 (共18层),81,2,南,1,两梯六户,1,2019/3/13,2017/2/27,1,1
11,21265,2室1厅1厨1卫,高楼层 (共33层),87,2,南,0,一梯四户,0,2019/4/12,暂无数据,0.5,0.5
1,22289,3室2厅1厨2卫,高楼层 (共29层),118,1,南 北,1,两梯六户,1,2018/11/15,暂无数据,1,0.5
1,26360,3室2厅1厨2卫,低楼层 (共33层),121.4,1,南 北,0.5,两梯四户,1,2019/3/27,暂无数据,1,1
9,21415,3室2厅1厨1卫,低楼层 (共18层),95.73,1,南 北,1,三梯六户,1,2019/4/12,暂无数据,1,1
7,16783,2室1厅1厨1卫,高楼层 (共6层),54.82,2,北,0.5,一梯四户,0.5,2019/3/28,2018/12/22,0.5,1
4,21548,3室2厅1厨2卫,低楼层 (共26层),143.87,3,东南,0.5,一梯四户,0,2018/11/7,暂无数据,0.5,1
3,22840,2室2厅1厨1卫,高楼层 (共32层),81,2,南,1,两梯四户,1,2019/4/12,2019/4/12,0.5,0.5
3,19892,2室2厅1厨1卫,高楼层 (共33层),90.49,1,南,0.5,两梯四户,1,2019/2/24,2017/7/10,0.5,0.5
1,19409,3室2厅1厨2卫,低楼层 (共6层),108.2,2,南,1,一梯两户,0.5,2018/10/11,暂无数据,1,1
1,21217,2室2厅1厨1卫,低楼层 (共33层),74,2,南,1,两梯六户,1,2019/3/2,2017/9/26,1,0.5
4,23755,2室2厅1厨1卫,高楼层 (共34层),90.51,3,南 北,1,两梯六户,1,2019/2/11,2016/5/13,0.5,1
1,22195,2室2厅1厨1卫,高楼层 (共13层),87.86,2,南,1,一梯三户,1,2018/5/5,2017/6/22,0.5,0.5
11,19927,2室1厅1厨1卫,低楼层 (共34层),84.81,1,南 北,0,两梯七户,1,2019/4/12,2019/4/11,0.5,1
2,13013,2室1厅1厨1卫,中楼层 (共8层),103.75,2,南,0.5,一梯两户,0,2017/9/26,2017/11/8,1,0.5
2,18988,1室1厅1厨1卫,高楼层 (共18层),48.98,2,西南,0.5,三梯十四户,1,2019/4/7,2017/7/10,0.5,0.5
3,15790,3室2厅1厨1卫,高楼层 (共25层),95,3,南,0.5,一梯四户,0,2019/3/9,暂无数据,0.5,1
2,16667,2室2厅1厨1卫,中楼层 (共6层),96,2,南 北,1,一梯两户,0.5,2019/3/22,暂无数据,0.5,1
3,20000,2室2厅1厨1卫,中楼层 (共18层),75,2,南,1,两梯四户,1,2019/3/3,暂无数据,0.5,0.5
3,16513,2室2厅1厨1卫,中楼层 (共24层),84.18,2,南 北,1,两梯六户,1,2019/3/2,2014/6/18,0.5,1
3,20085,3室2厅1厨2卫,中楼层 (共7层),129.45,2,南 北,1,一梯两户,0.5,2018/5/9,2005/4/1,0.5,1
3,25732,3室2厅1厨1卫,中楼层 (共6层),96.38,2,东南,1,一梯两户,0.5,2019/3/31,2011/3/7,0.5,0.5
2,17818,1室1厅1厨1卫,低楼层 (共8层),53.88,3,南 北,1,一梯三户,0.5,2019/4/14,2002/5/21,0.5,1
1,26842,2室2厅1厨1卫,高楼层 (共40层),100.59,2,东南,0,一梯八户,0,2019/3/17,2019/3/22,0.5,0.5
7,17741,2室2厅1厨1卫,低楼层 (共28层),72.15,1,南 北,1,一梯六户,0,2018/11/22,2018/6/5,0.5,0.5
6,15731,3室2厅1厨1卫,中楼层 (共25层),85.82,2,南 北,0,一梯四户,0,2019/1/12,2015/12/18,0.5,0.5
1,15693,3室2厅1厨2卫,高楼层 (共24层),119.8,3,南 北,1,一梯五户,0,2019/4/14,2015/10/15,0.5,1
2,20717,2室1厅1厨1卫,中楼层 (共32层),82.06,2,南,1,两梯四户,1,2019/3/3,2019/1/18,0.5,0.5
2,20834,2室1厅1厨1卫,高楼层 (共34层),89.28,1,南,1,两梯四户,1,2019/1/8,2016/4/28,1,0.5
6,10721,3室2厅1厨2卫,高楼层 (共6层),135.26,2,南 北,0.5,一梯两户,0,2019/4/15,2017/1/19,0.5,0.5
5,13266,2室2厅1厨1卫,中楼层 (共33层),80.66,3,南,1,两梯四户,1,2018/6/19,2017/1/11,0.5,0.5
1,30974,2室1厅1厨1卫,低楼层 (共28层),101.7,3,东南,0,两梯八户,1,2019/2/14,暂无数据,0.5,0.5
6,14213,3室2厅1厨1卫,高楼层 (共27层),91.47,2,南,0,两梯四户,1,2019/4/13,暂无数据,0.5,0.5
1,20103,3室2厅1厨2卫,高楼层 (共32层),138.79,2,南 北,1,两梯三户,1,2019/3/13,2017/9/6,0.5,0.5
14,16490,3室2厅1厨2卫,中楼层 (共17层),152.82,2,南 北,0.5,两梯两户,1,2018/8/29,2012/6/7,0.5,1
7,16008,3室2厅1厨2卫,中楼层 (共45层),120.94,1,南 北,0,一梯六户,0,2019/4/11,暂无数据,1,0.5
3,13685,3室2厅1厨1卫,中楼层 (共32层),95,2,南,0.5,一梯四户,0,2018/10/20,暂无数据,1,1
2,16195,3室2厅1厨1卫,中楼层 (共11层),91.7,3,南,1,两梯四户,1,2019/3/27,2012/6/16,0.5,1
14,20797,2室2厅1厨1卫,低楼层 (共46层),72.61,2,南 北,1,三梯六户,1,2019/3/4,2016/3/26,0.5,0.5
14,16541,2室1厅1厨1卫,低楼层 (共42层),83.43,2,南,0,三梯五户,1,2019/4/9,2017/12/5,0.5,0.5
7,18919,3室2厅1厨1卫,高楼层 (共34层),89.86,2,南 北,0.5,两梯四户,1,2019/2/15,暂无数据,1,0.5
2,16971,2室2厅1厨1卫,低楼层 (共32层),79.55,3,南,0.5,两梯四户,1,2019/4/11,暂无数据,1,1
3,17574,2室2厅1厨1卫,低楼层 (共29层),76.82,3,南,0,两梯四户,1,2018/11/6,2017/6/26,0.5,0.5
5,11869,2室2厅1厨1卫,高楼层 (共18层),91,2,南,0,两梯四户,1,2019/1/2,暂无数据,0.5,0.5
14,23483,3室2厅1厨2卫,高楼层 (共48层),117.11,2,南 北,1,四梯八户,1,2019/3/4,2018/6/10,0.5,0.5
6,10849,3室2厅1厨2卫,高楼层 (共18层),137.35,2,南 北,0,一梯两户,0,2018/12/1,2019/1/11,0.5,0.5
1,14318,3室2厅1厨1卫,高楼层 (共49层),90.8,2,南 北,0,一梯四户,0,2018/11/25,2018/4/8,1,0.5
7,15852,3室2厅1厨1卫,中楼层 (共38层),94,2,东 南,0,两梯六户,1,2019/3/17,暂无数据,1,1
1,15854,2室2厅1厨1卫,高楼层 (共34层),82,2,南,1,一梯四户,0,2019/4/2,暂无数据,1,0.5
6,14789,2室2厅1厨1卫,低楼层 (共25层),74.38,2,南,1,两梯四户,1,2018/11/9,暂无数据,1,1
6,10316,4室2厅1厨2卫,中楼层 (共18层),140.56,2,南 北,0,两梯两户,1,2019/1/15,2019/2/1,0.5,0.5
9,12638,3室2厅1厨1卫,低楼层 (共31层),84.67,2,南,1,一梯四户,0,2018/11/2,2018/10/25,0.5,1
10,15653,1室1厅1厨1卫,中楼层 (共33层),46,3,东,0,六梯十八户,1,2018/11/22,暂无数据,0.5,0.5
1,19152,2室1厅1厨1卫,中楼层 (共32层),87.72,1,南,1,两梯四户,1,2019/2/25,2017/7/7,1,0.5
7,13244,2室1厅1厨1卫,高楼层 (共7层),78.53,2,南,1,一梯两户,0.5,2019/1/13,2016/5/11,0.5,0.5
1,15163,2室2厅1厨1卫,高楼层 (共49层),83.76,1,南,1,两梯四户,1,2019/2/27,暂无数据,1,0.5
14,15750,3室2厅1厨1卫,中楼层 (共7层),82.54,2,南,1,一梯两户,0.5,2018/12/12,2010/4/20,0.5,1
9,12877,3室2厅1厨1卫,高楼层 (共32层),91.64,2,南,1,两梯四户,1,2019/3/12,2018/4/24,0.5,0.5
1,23625,3室2厅1厨2卫,中楼层 (共11层),143.92,2,南 北,1,一梯两户,1,2019/4/7,2018/8/17,1,0.5
8,18711,1室1厅1厨1卫,低楼层 (共12层),58.79,3,西,1,一梯九户,0.5,2019/3/18,2019/3/6,0.5,1
14,33044,3室2厅1厨2卫,中楼层 (共32层),128.62,2,南 北,0,两梯四户,1,2018/8/18,2012/9/29,0.5,1
7,18617,3室2厅1厨1卫,高楼层 (共34层),92.93,2,南,1,两梯四户,1,2018/5/12,2016/8/30,1,0.5
7,17300,3室2厅1厨2卫,中楼层 (共11层),130.06,2,南 北,1,一梯两户,1,2019/2/25,2010/12/30,0.5,1
1,20491,2室2厅1厨1卫,中楼层 (共26层),89.31,2,南,1,两梯四户,1,2019/1/13,2013/12/16,0.5,0.5
1,31429,3室2厅1厨2卫,低楼层 (共46层),175,2,东南,1,两梯两户,1,2019/3/13,2016/5/14,0.5,0.5
3,29521,3室2厅1厨2卫,低楼层 (共34层),108.06,2,南 北,1,两梯四户,1,2018/7/15,2017/5/3,0.5,0.5
1,20510,3室2厅1厨1卫,高楼层 (共29层),90.2,1,南 北,1,两梯六户,1,2018/6/9,2016/4/19,1,1
2,18610,2室2厅1厨1卫,中楼层 (共32层),83.83,2,南,0,两梯四户,1,2018/6/1,暂无数据,1,0.5
2,17565,2室1厅1厨1卫,低楼层 (共32层),75.15,3,南,0,一梯六户,0,2018/6/6,2018/4/4,1,0.5
5,12419,3室2厅1厨2卫,高楼层 (共11层),135.28,2,南 北,1,一梯两户,1,2019/4/5,2012/9/11,0.5,1
4,22096,1室1厅1厨1卫,中楼层 (共27层),50.69,3,北,1,两梯七户,1,2018/7/31,2011/11/16,0.5,1
4,22574,3室1厅1厨1卫,低楼层 (共33层),93.03,1,南,0,两梯四户,1,2018/10/14,2017/9/26,0.5,0.5
5,12156,2室2厅1厨1卫,低楼层 (共30层),83.91,2,南,1,两梯五户,1,2019/3/14,2018/11/26,1,0.5
14,19482,2室2厅1厨1卫,高楼层 (共6层),96.5,2,南,0.5,一梯两户,0.5,2019/3/19,2005/8/5,1,1
4,28764,2室1厅1厨1卫,中楼层 (共9层),54.93,3,南 北,0.5,三梯二十六户,1,2018/10/16,2018/9/13,0.5,1
9,17703,3室1厅1厨1卫,低楼层 (共6层),76.26,2,东南 南,0.5,一梯两户,0.5,2018/11/1,2016/3/18,0.5,1
7,15004,3室1厅1厨1卫,高楼层 (共18层),91.31,2,南,1,两梯三户,1,2019/4/7,暂无数据,1,1
6,16065,1室2厅1厨1卫,中楼层 (共25层),59.76,2,南,1,两梯八户,1,2019/4/8,2017/7/17,0.5,1
2,18264,2室2厅1厨1卫,中楼层 (共34层),88.7,2,东 南 北,0,两梯四户,1,2019/4/11,暂无数据,1,0.5
7,12693,2室1厅1厨1卫,中楼层 (共11层),66.97,2,东南,1,两梯四户,1,2018/11/29,暂无数据,1,1
6,9695,3室2厅1厨2卫,低楼层 (共6层),128.94,2,南 北,1,一梯两户,0.5,2019/1/26,2017/11/17,0.5,1
1,26802,2室1厅1厨1卫,中楼层 (共14层),88.8,2,南,1,两梯四户,1,2018/10/8,暂无数据,1,1
2,22321,1室1厅1厨1卫,高楼层 (共19层),43.01,3,北,1,两梯六户,1,2019/3/6,2012/12/4,0.5,1
5,11384,2室2厅1厨1卫,高楼层 (共30层),86.97,2,南,0,一梯四户,0,2019/3/5,暂无数据,0.5,0.5
12,11644,3室2厅1厨1卫,低楼层 (共33层),90.18,2,南,1,两梯四户,1,2019/3/31,2019/3/20,0.5,0.5
10,13828,2室1厅1厨1卫,低楼层 (共32层),81,2,南,0,两梯五户,1,2019/3/23,暂无数据,0.5,0.5
4,27716,2室2厅1厨1卫,高楼层 (共34层),93.09,2,南 北,1,两梯六户,1,2018/7/20,暂无数据,1,0.5
10,16045,2室1厅1厨1卫,高楼层 (共34层),79.78,2,南,1,两梯四户,1,2019/1/15,2014/5/17,1,1
7,16794,4室2厅1厨1卫,低楼层 (共34层),131,1,南,1,两梯四户,1,2018/10/30,暂无数据,1,0.5
4,29652,3室1厅1厨1卫,中楼层 (共8层),86,2,南 北,0.5,一梯四户,0.5,2019/3/14,暂无数据,1,1
4,22759,3室2厅1厨2卫,中楼层 (共32层),130.94,3,南 北,0,两梯四户,1,2018/12/12,2018/12/4,1,1
14,18585,1室1厅1厨1卫,高楼层 (共45层),56.5,2,西南,1,四梯九户,1,2019/2/22,暂无数据,1,0.5
4,30034,1室1厅1厨1卫,低楼层 (共18层),38.29,2,南,1,一梯三十五户,0,2019/3/21,2018/2/13,0.5,1
2,21843,1室0厅1厨1卫,高楼层 (共19层),38,3,东北,0.5,两梯六户,1,2019/2/28,暂无数据,0.5,1
4,22954,3室1厅1厨1卫,高楼层 (共40层),91.49,2,南,0,两梯四户,1,2018/11/26,2019/3/21,1,1
2,17079,3室2厅1厨1卫,中楼层 (共33层),89,1,南 北,1,两梯六户,1,2019/1/24,暂无数据,1,1
8,31101,1室1厅1厨1卫,高楼层 (共33层),52.09,2,东南,1,两梯六户,1,2019/4/14,2019/1/8,0.5,1
1,19026,3室1厅1厨1卫,高楼层 (共15层),91.98,2,南 北,0.5,两梯四户,1,2018/8/9,暂无数据,1,1
1,23022,1室0厅1厨1卫,中楼层 (共22层),34.75,2,北,0.5,四梯十八户,1,2019/2/16,2018/7/20,1,1
7,17429,2室2厅1厨1卫,高楼层 (共29层),82.05,2,南,1,两梯三户,1,2019/4/1,2012/7/14,1,0.5
10,18779,1室1厅0厨1卫,低楼层 (共11层),39.94,1,南,1,一梯七户,1,2018/12/24,暂无数据,0.5,0.5
3,18138,2室1厅1厨1卫,低楼层 (共7层),65.06,2,南,0.5,一梯两户,0,2019/4/7,暂无数据,1,1
2,21697,2室1厅1厨1卫,高楼层 (共32层),82.04,2,南,1,两梯四户,1,2019/3/21,2019/4/10,0.5,1
2,35288,3室2厅1厨1卫,中楼层 (共32层),105.42,1,南 北,1,三梯六户,1,2018/8/15,2013/1/24,0.5,1
1,25396,3室2厅1厨2卫,高楼层 (共12层),139,3,南 北,1,一梯四户,1,2018/3/29,2006/8/11,0.5,1
14,23780,2室2厅1厨1卫,中楼层 (共35层),71.91,2,南,1,三梯五户,1,2019/4/8,2015/12/1,0.5,0.5
2,37697,3室2厅1厨2卫,中楼层 (共18层),124.68,2,东南 西北,1,两梯四户,1,2018/8/24,2018/7/24,0.5,1
1,14648,3室2厅1厨1卫,高楼层 (共49层),90.8,2,南 北,0,两梯四户,1,2019/3/25,2019/4/1,1,0.5
1,15750,2室2厅1厨1卫,高楼层 (共20层),80,2,南,1,两梯六户,1,2019/2/13,2018/3/30,1,1
1,18334,2室2厅1厨1卫,低楼层 (共39层),87.27,2,南,0.5,两梯五户,1,2018/11/26,暂无数据,0.5,0.5
1,23162,1室1厅1厨1卫,中楼层 (共46层),39.29,3,南,1,四梯八户,1,2019/3/16,2016/12/22,1,0.5
10,19957,3室2厅1厨2卫,低楼层 (共7层),100.22,1,南 北,1,一梯两户,0.5,2019/3/26,暂无数据,1,0.5
1,13619,2室1厅1厨1卫,低楼层 (共19层),85.18,2,南,0.5,两梯四户,1,2019/1/21,暂无数据,0.5,0.5
9,13767,2室2厅1厨1卫,中楼层 (共27层),77,2,南,0.5,两梯四户,1,2019/3/4,2019/1/28,0.5,0.5
9,12895,2室1厅1厨1卫,低楼层 (共29层),71.35,2,南,1,两梯四户,1,2018/12/8,暂无数据,1,0.5
10,13949,3室2厅1厨2卫,中楼层 (共5层),125.46,2,南 北,1,一梯两户,0,2018/10/30,暂无数据,0.5,0.5
9,12618,2室2厅1厨1卫,中楼层 (共5层),81.63,1,南 北,1,一梯两户,0,2019/3/4,2018/4/2,1,1
1,20698,3室2厅1厨1卫,中楼层 (共34层),100.01,2,南 北,0,两梯四户,1,2018/2/25,2017/1/11,0.5,0.5
4,31184,2室2厅1厨1卫,低楼层 (共34层),89.47,2,南 北,0.5,两梯四户,1,2019/3/12,2017/7/28,1,1
5,11873,2室2厅1厨1卫,高楼层 (共11层),90.97,2,南,1,一梯五户,1,2018/11/19,2016/7/1,0.5,0.5
7,17030,2室1厅1厨1卫,中楼层 (共18层),63.42,3,北,1,三梯八户,1,2019/2/16,2017/5/3,0.5,0.5
14,15023,2室1厅1厨1卫,高楼层 (共6层),70.56,2,南,0.5,一梯两户,0.5,2019/3/4,2009/12/4,1,0.5
10,14223,3室2厅1厨1卫,中楼层 (共32层),90,2,南,0,两梯四户,1,2019/3/10,暂无数据,1,0.5
6,14746,3室2厅1厨1卫,低楼层 (共18层),88.16,2,南,1,两梯四户,1,2019/2/18,2014/3/17,1,1
6,13950,3室2厅1厨2卫,中楼层 (共27层),100.36,2,南,0,两梯四户,1,2019/3/27,2014/9/28,1,1
2,15678,3室2厅1厨2卫,高楼层 (共46层),118,1,南,0,三梯四户,1,2019/3/28,暂无数据,1,0.5
14,12834,1室2厅1厨1卫,高楼层 (共7层),58.44,2,南,0.5,一梯四户,0.5,2019/3/2,2005/5/13,0.5,1
1,22156,3室2厅1厨1卫,低楼层 (共11层),99.3,2,南,1,一梯四户,1,2019/4/8,2015/10/28,1,0.5
2,17314,1室1厅1厨1卫,中楼层 (共8层),42.74,2,南,1,一梯七户,0.5,2019/2/20,暂无数据,1,1
1,17349,4室2厅1厨2卫,高楼层 (共13层),164.28,2,南,1,一梯四户,1,2018/6/9,2005/5/30,0.5,1
